"method","loc","cyclo","calls","nbd","param"
"io.kubernetes.client.openapi.models.V1PodSpec.validateJsonObject(JsonObject jsonObj)",226,100,260,3,1
"io.kubernetes.client.openapi.models.V1EphemeralContainer.validateJsonObject(JsonObject jsonObj)",167,75,193,3,1
"io.kubernetes.client.openapi.models.V1Container.validateJsonObject(JsonObject jsonObj)",164,72,185,3,1
"io.kubernetes.client.openapi.models.V1Volume.validateJsonObject(JsonObject jsonObj)",146,66,162,2,1
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec.validateJsonObject(JsonObject jsonObj)",133,66,165,2,1
"io.kubernetes.client.openapi.models.V1JSONSchemaProps.validateJsonObject(JsonObject jsonObj)",126,65,169,3,1
"io.kubernetes.client.openapi.models.V1PodStatus.validateJsonObject(JsonObject jsonObj)",142,64,164,3,1
"io.kubernetes.client.openapi.models.V1ServiceSpec.validateJsonObject(JsonObject jsonObj)",81,47,123,3,1
"io.kubernetes.client.openapi.models.EventsV1Event.validateJsonObject(JsonObject jsonObj)",71,41,101,2,1
"io.kubernetes.client.openapi.models.CoreV1Event.validateJsonObject(JsonObject jsonObj)",67,37,95,2,1
"io.kubernetes.client.openapi.models.V1NodeStatus.validateJsonObject(JsonObject jsonObj)",95,36,90,3,1
"io.kubernetes.client.openapi.models.V1ObjectMeta.validateJsonObject(JsonObject jsonObj)",70,35,89,3,1
"io.kubernetes.client.openapi.models.V1MutatingWebhook.validateJsonObject(JsonObject jsonObj)",86,34,90,3,1
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicySpec.validateJsonObject(JsonObject jsonObj)",87,32,79,3,1
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicySpec.validateJsonObject(JsonObject jsonObj)",87,32,79,3,1
"io.kubernetes.client.openapi.models.V1ValidatingWebhook.validateJsonObject(JsonObject jsonObj)",83,31,82,3,1
"io.kubernetes.client.openapi.models.V1StorageClass.validateJsonObject(JsonObject jsonObj)",64,29,73,3,1
"io.kubernetes.client.openapi.models.V1ObjectReference.validateJsonObject(JsonObject jsonObj)",41,26,65,2,1
"io.kubernetes.client.openapi.models.V1ResourceAttributes.validateJsonObject(JsonObject jsonObj)",41,26,65,2,1
"io.kubernetes.client.openapi.models.V1APIResource.validateJsonObject(JsonObject jsonObj)",59,25,69,2,1
"io.kubernetes.client.openapi.models.V1Endpoint.validateJsonObject(JsonObject jsonObj)",54,24,57,2,1
"io.kubernetes.client.openapi.models.V1RBDPersistentVolumeSource.validateJsonObject(JsonObject jsonObj)",52,24,60,2,1
"io.kubernetes.client.openapi.models.V1RBDVolumeSource.validateJsonObject(JsonObject jsonObj)",52,24,60,2,1
"io.kubernetes.client.openapi.models.V1ScaleIOPersistentVolumeSource.validateJsonObject(JsonObject jsonObj)",50,24,64,2,1
"io.kubernetes.client.openapi.models.V1ScaleIOVolumeSource.validateJsonObject(JsonObject jsonObj)",50,24,64,2,1
"io.kubernetes.client.openapi.models.V1CSIStorageCapacity.validateJsonObject(JsonObject jsonObj)",50,24,59,2,1
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimSpec.validateJsonObject(JsonObject jsonObj)",49,24,59,2,1
"io.kubernetes.client.openapi.models.V1Status.validateJsonObject(JsonObject jsonObj)",43,24,59,2,1
"io.kubernetes.client.openapi.models.V1APIGroup.validateJsonObject(JsonObject jsonObj)",64,23,61,3,1
"io.kubernetes.client.openapi.models.V1EndpointSlice.validateJsonObject(JsonObject jsonObj)",64,23,61,3,1
"io.kubernetes.client.openapi.models.V1ServiceAccount.validateJsonObject(JsonObject jsonObj)",58,23,56,3,1
"io.kubernetes.client.openapi.models.V1NodeSpec.validateJsonObject(JsonObject jsonObj)",51,23,57,3,1
"io.kubernetes.client.openapi.models.V1StatefulSetSpec.validateJsonObject(JsonObject jsonObj)",63,22,57,3,1
"io.kubernetes.client.openapi.models.V1alpha1MatchResources.validateJsonObject(JsonObject jsonObj)",59,22,53,3,1
"io.kubernetes.client.openapi.models.V1beta1MatchResources.validateJsonObject(JsonObject jsonObj)",59,22,53,3,1
"io.kubernetes.client.openapi.models.V1CSIPersistentVolumeSource.validateJsonObject(JsonObject jsonObj)",56,22,55,2,1
"io.kubernetes.client.openapi.models.V1HTTPGetAction.validateJsonObject(JsonObject jsonObj)",53,22,54,3,1
"io.kubernetes.client.openapi.models.V1ISCSIPersistentVolumeSource.validateJsonObject(JsonObject jsonObj)",50,22,57,2,1
"io.kubernetes.client.openapi.models.V1ISCSIVolumeSource.validateJsonObject(JsonObject jsonObj)",50,22,57,2,1
"io.kubernetes.client.openapi.models.V1StatusDetails.validateJsonObject(JsonObject jsonObj)",46,22,54,3,1
"io.kubernetes.client.openapi.models.V1PodSecurityContext.validateJsonObject(JsonObject jsonObj)",53,21,51,3,1
"io.kubernetes.client.openapi.models.V1PriorityClass.validateJsonObject(JsonObject jsonObj)",43,21,49,2,1
"io.kubernetes.client.openapi.models.V1EndpointSubset.validateJsonObject(JsonObject jsonObj)",62,20,48,3,1
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionVersion.validateJsonObject(JsonObject jsonObj)",55,20,48,3,1
"io.kubernetes.client.openapi.models.V1IngressSpec.validateJsonObject(JsonObject jsonObj)",55,20,48,3,1
"io.kubernetes.client.openapi.models.V1ClusterRoleBinding.validateJsonObject(JsonObject jsonObj)",53,20,48,3,1
"io.kubernetes.client.openapi.models.V1RoleBinding.validateJsonObject(JsonObject jsonObj)",53,20,48,3,1
"io.kubernetes.client.openapi.models.V1ClusterRole.validateJsonObject(JsonObject jsonObj)",48,20,48,3,1
"io.kubernetes.client.openapi.models.V1RuntimeClass.validateJsonObject(JsonObject jsonObj)",48,20,48,2,1
"io.kubernetes.client.openapi.models.V1alpha2ResourceClass.validateJsonObject(JsonObject jsonObj)",48,20,48,2,1
"io.kubernetes.client.openapi.models.V1CephFSPersistentVolumeSource.validateJsonObject(JsonObject jsonObj)",46,20,47,2,1
"io.kubernetes.client.openapi.models.V1CephFSVolumeSource.validateJsonObject(JsonObject jsonObj)",46,20,47,2,1
"io.kubernetes.client.openapi.models.V1ValidationRule.validateJsonObject(JsonObject jsonObj)",42,20,49,2,1
"io.kubernetes.client.openapi.models.V1ManagedFieldsEntry.validateJsonObject(JsonObject jsonObj)",35,20,49,2,1
"io.kubernetes.client.openapi.models.V1alpha1ParentReference.validateJsonObject(JsonObject jsonObj)",35,20,49,2,1
"io.kubernetes.client.openapi.models.V1beta2PolicyRulesWithSubjects.validateJsonObject(JsonObject jsonObj)",65,19,48,3,1
"io.kubernetes.client.openapi.models.V1beta3PolicyRulesWithSubjects.validateJsonObject(JsonObject jsonObj)",65,19,48,3,1
"io.kubernetes.client.openapi.models.V1NetworkPolicySpec.validateJsonObject(JsonObject jsonObj)",61,19,46,3,1
"io.kubernetes.client.openapi.models.V1ContainerStatus.validateJsonObject(JsonObject jsonObj)",51,19,50,2,1
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionNames.validateJsonObject(JsonObject jsonObj)",47,19,50,2,1
"io.kubernetes.client.openapi.models.V1TopologySpreadConstraint.validateJsonObject(JsonObject jsonObj)",47,19,49,2,1
"io.kubernetes.client.openapi.models.V1ServicePort.validateJsonObject(JsonObject jsonObj)",39,19,44,2,1
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedControllerRevisionCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",98,18,34,1,16
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDaemonSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",98,18,34,1,16
