"type","dep","i-dep","fan-in","fan-out"
"io.kubernetes.client.openapi.apis.CoreV1Api",56,48,0,51
"io.kubernetes.client.openapi.apis.AppsV1Api",31,23,0,26
"io.kubernetes.client.openapi.apis.StorageV1Api",30,22,0,25
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api",28,20,0,23
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api",28,20,0,23
"io.kubernetes.client.openapi.apis.NetworkingV1Api",26,18,0,21
"io.kubernetes.client.openapi.apis.CustomObjectsApi",18,10,0,13
"io.kubernetes.client.openapi.apis.BatchV1Api",24,16,0,19
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api",24,16,0,19
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api",24,16,0,19
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api",24,16,0,19
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api",24,16,0,19
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api",24,16,0,19
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api",24,16,0,19
"io.kubernetes.client.openapi.apis.CertificatesV1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.AutoscalingV1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.AutoscalingV2Api",22,14,0,17
"io.kubernetes.client.openapi.apis.PolicyV1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.CoordinationV1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.DiscoveryV1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.EventsV1Api",22,14,0,17
"io.kubernetes.client.openapi.models.V1PodSpec",42,16,2,25
"io.kubernetes.client.openapi.models.V1JSONSchemaProps",29,3,1,16
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.NodeV1Api",22,14,0,17
"io.kubernetes.client.openapi.apis.SchedulingV1Api",22,14,0,17
"io.kubernetes.client.openapi.JSON",29,2,559,11
"io.kubernetes.client.openapi.ApiClient",39,4,59,19
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec",52,26,2,35
"io.kubernetes.client.openapi.models.V1Volume",55,30,1,38
"io.kubernetes.client.openapi.models.V1EphemeralContainer",37,11,1,20
"io.kubernetes.client.openapi.models.V1Container",37,11,1,20
"io.kubernetes.client.openapi.apis.AuthorizationV1Api",21,13,0,16
"io.kubernetes.client.openapi.models.V1PodStatus",33,6,1,14
"io.kubernetes.client.openapi.models.V1ServiceSpec",29,3,1,13
"io.kubernetes.client.openapi.models.V1ObjectMeta",30,3,83,13
"io.kubernetes.client.openapi.models.EventsV1Event",31,5,2,14
"io.kubernetes.client.openapi.models.CoreV1Event",31,5,2,14
"io.kubernetes.client.openapi.models.V1NodeStatus",35,9,1,18
"io.kubernetes.client.openapi.models.V1MutatingWebhook",31,5,1,14
"io.kubernetes.client.openapi.models.V1ValidatingWebhook",31,5,1,14
"io.kubernetes.client.openapi.models.V1JobSpec",29,4,2,12
"io.kubernetes.client.openapi.models.V1StatefulSetSpec",33,7,1,15
"io.kubernetes.client.openapi.models.V1StorageClass",29,3,2,14
"io.kubernetes.client.openapi.models.V1APIResource",27,1,1,10
"io.kubernetes.client.openapi.models.V1ContainerStatus",29,4,1,12
"io.kubernetes.client.openapi.models.V1ISCSIPersistentVolumeSource",28,2,1,11
"io.kubernetes.client.openapi.models.V1ISCSIVolumeSource",28,2,1,11
"io.kubernetes.client.openapi.apis.AuthenticationV1Api",19,11,0,13
"io.kubernetes.client.openapi.models.V1JobStatus",30,3,1,11
