"type","severity","representativity","quality","intervention","cdi"
"io.kubernetes.client.openapi.apis.CoreV1Api","10,000","7,000","5,400","5,800","60,667"
"io.kubernetes.client.openapi.apis.AppsV1Api","3,977","7,000","5,400","5,800","24,125"
"io.kubernetes.client.openapi.apis.StorageV1Api","2,964","7,000","5,400","5,800","17,982"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","2,901","7,000","5,400","5,800","17,597"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","2,590","7,000","5,400","5,800","15,713"
"io.kubernetes.client.openapi.ApiClient","1,569","10,000","10,000","10,000","15,689"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","2,370","7,000","5,400","5,800","14,378"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","2,227","7,000","5,400","5,800","13,511"
"io.kubernetes.client.openapi.apis.BatchV1Api","2,150","7,000","5,400","5,800","13,043"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","2,040","7,000","5,400","5,800","12,375"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","2,040","7,000","5,400","5,800","12,375"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","1,921","7,000","5,400","5,800","11,656"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","1,921","7,000","5,400","5,800","11,656"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","1,763","7,000","5,400","5,800","10,698"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","1,763","7,000","5,400","5,800","10,698"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","1,651","7,000","5,400","5,800","10,015"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","1,649","7,000","5,400","5,800","10,002"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","1,649","7,000","5,400","5,800","10,002"
"io.kubernetes.client.openapi.apis.PolicyV1Api","1,619","7,000","5,400","5,800","9,823"
"io.kubernetes.client.openapi.JSON","1,262","10,000","4,400","8,800","9,760"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","1,538","7,000","5,400","5,800","9,332"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","1,538","7,000","5,400","5,800","9,332"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","1,538","7,000","5,400","5,800","9,332"
"io.kubernetes.client.openapi.apis.EventsV1Api","1,525","7,000","5,400","5,800","9,252"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","1,502","7,000","5,400","5,800","9,110"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","1,502","7,000","5,400","5,800","9,110"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","1,426","7,000","5,400","5,800","8,649"
"io.kubernetes.client.openapi.apis.NodeV1Api","1,426","7,000","5,400","5,800","8,649"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","1,426","7,000","5,400","5,800","8,649"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","1,246","7,000","5,400","5,800","7,558"
"io.kubernetes.client.openapi.models.V1JSONSchemaProps","1,403","4,000","3,700","2,800","4,909"
"io.kubernetes.client.openapi.models.V1PodSpec","1,396","4,000","3,700","2,800","4,885"
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec","1,341","4,000","3,700","2,800","4,695"
"io.kubernetes.client.openapi.models.V1Volume","1,337","4,000","3,700","2,800","4,681"
"io.kubernetes.client.openapi.models.V1EphemeralContainer","1,332","4,000","3,700","2,800","4,664"
"io.kubernetes.client.openapi.models.V1Container","1,328","4,000","3,700","2,800","4,649"
"io.kubernetes.client.openapi.models.V1ServiceSpec","1,301","4,000","3,700","2,800","4,554"
"io.kubernetes.client.openapi.models.V1PodStatus","1,296","4,000","3,700","2,800","4,536"
"io.kubernetes.client.openapi.models.V1Endpoint","1,104","4,000","2,400","2,800","3,385"
"io.kubernetes.client.openapi.models.V1PersistentVolumeClaimStatus","1,098","4,000","2,400","2,800","3,369"
"io.kubernetes.client.openapi.models.V1alpha1NamedRuleWithOperations","1,098","4,000","2,400","2,800","3,368"
"io.kubernetes.client.openapi.models.V1beta1NamedRuleWithOperations","1,098","4,000","2,400","2,800","3,368"
"io.kubernetes.client.openapi.models.V1LimitRangeItem","1,098","4,000","2,400","2,800","3,367"
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewSpec","1,095","4,000","2,400","2,800","3,359"
"io.kubernetes.client.openapi.models.V1ConfigMap","1,095","4,000","2,400","2,800","3,358"
"io.kubernetes.client.openapi.models.V1PolicyRule","1,094","4,000","2,400","2,800","3,356"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule","1,093","4,000","2,400","2,800","3,353"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule","1,093","4,000","2,400","2,800","3,353"
"io.kubernetes.client.openapi.models.V1RuleWithOperations","1,093","4,000","2,400","2,800","3,352"
"io.kubernetes.client.openapi.models.V1ResourceRule","1,089","4,000","2,400","2,800","3,340"
"io.kubernetes.client.openapi.models.V1NetworkPolicySpec","1,088","4,000","2,400","2,800","3,336"
"io.kubernetes.client.openapi.models.V1IngressSpec","1,087","4,000","2,400","2,800","3,333"
"io.kubernetes.client.openapi.models.V1UserInfo","1,087","4,000","2,400","2,800","3,333"
"io.kubernetes.client.openapi.models.V1APIVersions","1,087","4,000","2,400","2,800","3,333"
"io.kubernetes.client.openapi.models.V1alpha1ServerStorageVersion","1,087","4,000","2,400","2,800","3,332"
"io.kubernetes.client.openapi.models.V1SubjectRulesReviewStatus","1,087","4,000","2,400","2,800","3,332"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingList","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyList","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingList","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyList","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.V1ComponentStatus","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.V1Endpoints","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.V1MutatingWebhookConfiguration","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.V1Role","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfiguration","1,086","4,000","2,400","2,800","3,330"
"io.kubernetes.client.openapi.models.CoreV1EventList","1,086","4,000","2,400","2,800","3,329"
"io.kubernetes.client.openapi.models.EventsV1EventList","1,086","4,000","2,400","2,800","3,329"
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDRList","1,086","4,000","2,400","2,800","3,329"
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundleList","1,086","4,000","2,400","2,800","3,329"
"io.kubernetes.client.openapi.models.V1alpha1IPAddressList","1,086","4,000","2,400","2,800","3,329"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionList","1,086","4,000","2,400","2,800","3,329"
