"type","cdi"
"io.kubernetes.client.openapi.apis.CoreV1Api","33,964"
"io.kubernetes.client.openapi.apis.AppsV1Api","15,761"
"io.kubernetes.client.openapi.ApiClient","13,548"
"io.kubernetes.client.openapi.apis.StorageV1Api","12,449"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","12,447"
"io.kubernetes.client.openapi.models.V1Container","12,302"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","11,431"
"io.kubernetes.client.openapi.models.V1PodSpec","11,317"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","10,816"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","10,344"
"io.kubernetes.client.openapi.apis.BatchV1Api","10,223"
"io.kubernetes.client.openapi.models.V1PodStatus","10,105"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","9,526"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","9,526"
"io.kubernetes.client.openapi.models.V1EphemeralContainer","9,411"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","9,200"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","9,200"
"io.kubernetes.client.openapi.models.V1JSONSchemaProps","8,891"
"io.kubernetes.client.openapi.models.V1Volume","8,855"
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec","8,773"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","8,768"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","8,768"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","8,704"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","8,704"
"io.kubernetes.client.openapi.apis.PolicyV1Api","8,614"
"io.kubernetes.client.openapi.apis.EventsV1Api","8,340"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","8,304"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","8,269"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","8,269"
"io.kubernetes.client.openapi.models.V1ServiceSpec","8,182"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","8,011"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","8,011"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","8,011"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","7,751"
"io.kubernetes.client.openapi.apis.NodeV1Api","7,751"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","7,751"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","6,675"
"io.kubernetes.client.openapi.models.EventsV1Event","5,950"
"io.kubernetes.client.openapi.models.V1NodeStatus","5,810"
"io.kubernetes.client.openapi.JSON","5,688"
"io.kubernetes.client.openapi.models.CoreV1Event","5,602"
"io.kubernetes.client.openapi.models.V1MutatingWebhook","5,564"
"io.kubernetes.client.openapi.models.V1Endpoint","5,553"
"io.kubernetes.client.openapi.models.V1ObjectMeta","5,478"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicySpec","5,417"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicySpec","5,417"
"io.kubernetes.client.openapi.models.V1Status","5,317"
"io.kubernetes.client.openapi.models.V1ValidatingWebhook","5,302"
"io.kubernetes.client.openapi.models.V1EndpointSubset","5,297"
"io.kubernetes.client.openapi.models.V1beta2PolicyRulesWithSubjects","5,251"
"io.kubernetes.client.openapi.models.V1beta3PolicyRulesWithSubjects","5,251"
"io.kubernetes.client.openapi.models.V1IngressSpec","5,230"
"io.kubernetes.client.openapi.models.V1NetworkPolicySpec","5,216"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionStatus","5,029"
"io.kubernetes.client.openapi.models.V1alpha1NamedRuleWithOperations","4,970"
"io.kubernetes.client.openapi.models.V1beta1NamedRuleWithOperations","4,970"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingList","4,961"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyList","4,961"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingList","4,961"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyList","4,961"
"io.kubernetes.client.openapi.models.V1ComponentStatus","4,961"
"io.kubernetes.client.openapi.models.V1Endpoints","4,961"
"io.kubernetes.client.openapi.models.V1MutatingWebhookConfiguration","4,961"
"io.kubernetes.client.openapi.models.V1Role","4,961"
"io.kubernetes.client.openapi.models.V1ValidatingWebhookConfiguration","4,961"
