"method","line","intervention","norm_intervention","smell","quality"
"io.kubernetes.client.openapi.ApiClient.buildUrl(String baseUrl, String path, List<Pair> queryParams, List<Pair> collectionQueryParams)",1212,"21,000","10.0","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.ApiClient.buildUrl(String baseUrl, String path, List<Pair> queryParams, List<Pair> collectionQueryParams)",1212,"21,000","10.0","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.ApiClient.buildUrl(String baseUrl, String path, List<Pair> queryParams, List<Pair> collectionQueryParams)",1212,"21,000","10.0","Bumpy Road","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.ApiClient.handleResponse(Response response, Type returnType)",1081,"21,000","10.0","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.ApiClient.handleResponse(Response response, Type returnType)",1081,"21,000","10.0","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.ApiClient.handleResponse(Response response, Type returnType)",1081,"21,000","10.0","Bumpy Road","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.ApiClient.applySslSettings()",1451,"21,000","10.0","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.ApiClient.applySslSettings()",1451,"21,000","10.0","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.ApiClient.applySslSettings()",1451,"21,000","10.0","Bumpy Road","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedControllerRevisionCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1279,"10,500","5.390243902439025","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedControllerRevisionCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1279,"10,500","5.390243902439025","Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedControllerRevisionCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1279,"10,500","5.390243902439025","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDaemonSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1645,"10,500","5.390243902439025","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDaemonSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1645,"10,500","5.390243902439025","Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDaemonSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1645,"10,500","5.390243902439025","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDeploymentCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2011,"10,500","5.390243902439025","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDeploymentCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2011,"10,500","5.390243902439025","Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDeploymentCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2011,"10,500","5.390243902439025","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedReplicaSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2377,"10,500","5.390243902439025","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedReplicaSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2377,"10,500","5.390243902439025","Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedReplicaSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2377,"10,500","5.390243902439025","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedStatefulSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2743,"10,500","5.390243902439025","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedStatefulSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2743,"10,500","5.390243902439025","Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedStatefulSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",2743,"10,500","5.390243902439025","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api.deleteCollectionNamespacedHorizontalPodAutoscalerCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",318,"10,500","5.390243902439025","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api.deleteCollectionNamespacedHorizontalPodAutoscalerCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",318,"10,500","5.390243902439025","Long Parameter List","Maintainability"
