"type","representativity","norm_representativity","smell","quality"
"io.kubernetes.client.openapi.ApiClient","0,005","10.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.ApiClient","0,005","10.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.ApiClient","0,005","10.0","Hub-like Modularization","Maintainability, Coupling"
"io.kubernetes.client.openapi.ApiClient","0,005","10.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.JSON","0,005","10.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.JSON","0,005","10.0","Cyclically-dependent Modularization","Modularity"
"io.kubernetes.client.openapi.JSON","0,005","10.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.JSON","0,005","10.0","Deep Hierarchy","Inheritance"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AppsV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
