"method","line","severity","norm_severity","smell","quality"
"io.kubernetes.client.openapi.models.V1PodSpec.validateJsonObject(JsonObject jsonObj)",1321,"130,133","10.0","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodSpec.validateJsonObject(JsonObject jsonObj)",1321,"130,133","10.0","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1EphemeralContainer.validateJsonObject(JsonObject jsonObj)",882,"97,267","7.715977092851168","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1EphemeralContainer.validateJsonObject(JsonObject jsonObj)",882,"97,267","7.715977092851168","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Container.validateJsonObject(JsonObject jsonObj)",854,"93,867","7.479698861077152","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Container.validateJsonObject(JsonObject jsonObj)",854,"93,867","7.479698861077152","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1Volume.validateJsonObject(JsonObject jsonObj)",975,"85,467","6.895952641400168","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Volume.validateJsonObject(JsonObject jsonObj)",975,"85,467","6.895952641400168","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec.validateJsonObject(JsonObject jsonObj)",998,"83,733","6.775497072260473","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PersistentVolumeSpec.validateJsonObject(JsonObject jsonObj)",998,"83,733","6.775497072260473","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1PodStatus.validateJsonObject(JsonObject jsonObj)",617,"82,933","6.719902194195999","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1PodStatus.validateJsonObject(JsonObject jsonObj)",617,"82,933","6.719902194195999","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1JSONSchemaProps.validateJsonObject(JsonObject jsonObj)",1431,"81,800","6.641142783604659","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1JSONSchemaProps.validateJsonObject(JsonObject jsonObj)",1431,"81,800","6.641142783604659","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.ApiClient.buildUrl(String baseUrl, String path, List<Pair> queryParams, List<Pair> collectionQueryParams)",1212,"61,467","5.228106299465929","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.ApiClient.buildUrl(String baseUrl, String path, List<Pair> queryParams, List<Pair> collectionQueryParams)",1212,"61,467","5.228106299465929","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.ApiClient.buildUrl(String baseUrl, String path, List<Pair> queryParams, List<Pair> collectionQueryParams)",1212,"61,467","5.228106299465929","Bumpy Road","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.models.V1ServiceSpec.validateJsonObject(JsonObject jsonObj)",691,"57,800","4.97329644167042","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1ServiceSpec.validateJsonObject(JsonObject jsonObj)",691,"57,800","4.97329644167042","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedControllerRevisionCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1279,"52,950","4.636252493404543","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedControllerRevisionCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1279,"52,950","4.636252493404543","Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedControllerRevisionCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1279,"52,950","4.636252493404543","Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDaemonSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1645,"52,950","4.636252493404543","Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api.deleteCollectionNamespacedDaemonSetCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",1645,"52,950","4.636252493404543","Long Parameter List","Maintainability"
