"type","severity","norm_severity","smell","quality"
"io.kubernetes.client.openapi.apis.CoreV1Api","1224,958","10.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api","1224,958","10.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api","1224,958","10.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AppsV1Api","405,547","3.9766140206514495","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api","405,547","3.9766140206514495","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api","405,547","3.9766140206514495","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.StorageV1Api","267,811","2.964137138046599","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.StorageV1Api","267,811","2.964137138046599","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.StorageV1Api","267,811","2.964137138046599","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","259,165","2.900575743474811","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","259,165","2.900575743474811","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","259,165","2.900575743474811","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","216,913","2.5899916810398262","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","216,913","2.5899916810398262","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","216,913","2.5899916810398262","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","186,977","2.369936048669749","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","186,977","2.369936048669749","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","186,977","2.369936048669749","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","167,551","2.2271396772999097","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","167,551","2.2271396772999097","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","167,551","2.2271396772999097","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.BatchV1Api","157,041","2.149875542480024","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api","157,041","2.149875542480024","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api","157,041","2.149875542480024","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","142,078","2.0398849380329547","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","142,078","2.0398849380329547","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","142,078","2.0398849380329547","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","142,078","2.0398849380329547","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","142,078","2.0398849380329547","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","142,078","2.0398849380329547","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","125,942","1.9212763242523483","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","125,942","1.9212763242523483","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","125,942","1.9212763242523483","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","125,942","1.9212763242523483","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","125,942","1.9212763242523483","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","125,942","1.9212763242523483","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","104,472","1.7634517008919746","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","104,472","1.7634517008919746","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","104,472","1.7634517008919746","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","104,472","1.7634517008919746","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","104,472","1.7634517008919746","Insufficient Modularization","Modularity, Maintainability"
