"type","smell","quality"
"io.kubernetes.client.openapi.ApiClient","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.ApiClient","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.ApiClient","Hub-like Modularization","Maintainability, Coupling"
"io.kubernetes.client.openapi.ApiClient","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.JSON","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.JSON","Cyclically-dependent Modularization","Modularity"
"io.kubernetes.client.openapi.JSON","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.JSON","Deep Hierarchy","Inheritance"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1alpha1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AdmissionregistrationV1beta1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ApiextensionsV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ApiregistrationV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AppsV1Api","God Class","Understandability, Maintainability"
