"granularity","smell","instances","perc_instances"
"NAMESPACE","Too Large Package/Subsystem",2,"66,67%"
"NAMESPACE","Cyclic Dependency",1,"33,33%"
"TYPE","Insufficient Modularization",620,"99,68%"
"TYPE","Multifaceted Abstraction",200,"32,15%"
"TYPE","God Class",37,"5,95%"
"TYPE","Cyclically-dependent Modularization",2,"0,32%"
"TYPE","Deficient Encapsulation",2,"0,32%"
"TYPE","Hub-like Modularization",1,"0,16%"
"TYPE","Deep Hierarchy",1,"0,16%"
"METHOD","Long Parameter List",2197,"62,11%"
"METHOD","Complex Method",2033,"57,48%"
"METHOD","Long Method",1201,"33,96%"
"METHOD","Bumpy Road",4,"0,11%"
